"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"1331","UNIDAD DE CONSULTA EXTERNA DE PSIQUIATRIA INFANTIL Y DEL ADOLESCENTE","HOSPITAL PSIQUIATRICO GUSTAVO DE LEON MOJICA GARCIA ","622212","Hospitales psiquiátricos y para el tratamiento por adicción del sector público","6 a 10 personas","CALLE","VERACRUZ","CALLE","TALAMANTES","CALLE","PUEBLITO","CALLE","26 DE MARZO",,"SN",,,,,"COLONIA","SAN MARCOS",,,,"20070","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0591","013",,,,"Fijo","21.8792906","-102.31385432","2010-07"
"51320","UNIDAD MÉDICA DE ATENCIÓN AMBULATORIA","INSTITUO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","101 a 250 personas","AVENIDA","CONVENCION DE 1914 NORTE","CALLE","MELQUIADES MORENO","CALLE","PETROLEOS MEXICANOS","CALLE","ALFREDO LEWIS","0","SN",,,"0",,"COLONIA","INDUSTRIAL",,,,"20030","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0375","020","4491532280","MARTHA.REYESC@IMSS.GOB.MX","WWW.IMSS.GOB.MX","Fijo","21.90005151","-102.29405844","2010-07"
"6915939","ALMACÉN DE EMBARGOS DE IMSS","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","0 a 5 personas","CALLE","RIO SAN FRANCISCO","CALLE","NINGUNO","CARRETERA","CARRETERA A SAN LUIS RIO COLORADO","BOULEVARD","VENUSTIANO CARRANZA",,"SN",,,,,"COLONIA","GONZALEZ ORTEGA",,,,"21397","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","2477","001",,,,"Fijo","32.5966515","-115.41097035","2019-11"
"8390198","ALMACÉN ISSTECALI","INSTITUTO DE SEGURIDAD SOCIAL DE TRABAJADOLES AL SERVICIO DE LOS TRABAJADORES DEL ESTADO ","622112","Hospitales generales del sector público","0 a 5 personas","CALLE","MAR BALTICO","PRIVADA","OCEANO ÍNDICO","CALLE","CALAFIA","AVENIDA","AVENIDA DE LA PATRIA","255",,,,,,"COLONIA","JOSUE MOLINA",,,,"21060","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4488","011",,,,"Fijo","32.6369982","-115.47545643","2019-11"
"8319486","ALMACENES IMSS","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","0 a 5 personas","CALLE","RIO SAN FRANCISCO","CALLE","NINGUNO","CARRETERA","CARRETERA A SAN LUIS RIO COLORADO","BOULEVARD","VENUSTIANO CARRANZA",,"SN",,,,,"COLONIA","PARQUE INDUSTRIAL LA RAZA",,,,"21397","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","2477","001",,,,"Fijo","32.59673599","-115.41097195","2019-11"
"133397","CAPASITS","SECRETARÍA DE SALUD ","622112","Hospitales generales del sector público","11 a 30 personas","CALLE","FUENTES DE MEXICALI","CALLE","COMEDIA","CALLE","CALLE DEL MANANTIAL","CALLE","GROSELLA","0","SN",,,"0",,"COLONIA","FLORIDO CUARTA SECCION",,,,"22245","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","4590","019",,,,"Fijo","32.47195492","-116.84978589","2014-12"
"9128254","CENTRO AVANZADO DE ATENCIÓN PRIMARIA A LA SALUD","SECRETARIA DE SALUD ","622112","Hospitales generales del sector público","31 a 50 personas","CARRETERA","CARRETERA TRANSPENINSULAR","CALLE","ENSENADA","AVENIDA","MEXICALI","CALLE","REVOLUCIONARIOS",,"SN",,,,,"LOCALIDAD","RODOLFO SANCHEZ TABOADA (MANEADERO)",,,,"22790","02","BAJA CALIFORNIA","001","Ensenada","0139","Rodolfo Sánchez Taboada (Maneadero)","6063","027",,,,"Fijo","31.71920629","-116.57266877","2019-11"
"78788","CENTRO AVANZADO DE ATENCIÓN PRIMARIA A LA SALUD GUADALUPE VICTORIA","ISESALUD GOBIERNO DEL ESTADO ","622112","Hospitales generales del sector público","51 a 100 personas","AVENIDA","27 DE ENERO","CALLE","NOVENA","CALLE","DECIMA","AVENIDA","1915","0","SN",,,"0",,"FRACCIONAMIENTO","DEL SOL",,,,"21720","02","BAJA CALIFORNIA","002","Mexicali","0185","Ciudad Guadalupe Victoria (Kilómetro Cuarenta y Tres)","7849","003","6585162753",,,"Fijo","32.28198811","-115.09398661","2014-12"
"105742","CENTRO COMUNITARIO CARAVANA 27","AYUNTAMIENTO DE TIJUANA ","622112","Hospitales generales del sector público","0 a 5 personas","AVENIDA","LAS FUENTES","CALLE","HACIENDA FUENTES DE TECATE","BOULEVARD","2000","PRIVADA","HACIENDA FUENTES DEL SOL",,"SN",,,,,"FRACCIONAMIENTO","FRACC HACIENDA LAS FUENTES",,,,"22245","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","5885","014",,,,"Fijo","32.46998444","-116.84548333","2014-12"
"9170260","CENTRO DE SALUD EL RUBI","ISESALUD GOBIERNO DEL ESTADO DE BC ","622112","Hospitales generales del sector público","11 a 30 personas","PRIVADA","ESTEBAN CANTU","CALLE","ESTEBAN CANTU","CALLE","JOSE MARIA CRUZ","BOULEVARD","BOULEVARD DE LOS FUNDADORES",,"SN",,,,,"COLONIA","OBERA 2A SECCION",,,,"22626","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","169A","007","6649008792",,,"Fijo","32.47942644","-117.03742774","2019-11"
"6423422","CLÍNICA 32 IMSS","CLÍNICA 32 IMSS ","622112","Hospitales generales del sector público","101 a 250 personas","AVENIDA","BLANCARTE","CALLE","TERCERA","CALLE","JUAN RODRIGUEZ CABRILLO","AVENIDA","ALVARADO","297",,,,"0",,"COLONIA","ZONA CENTRO",,,,"22800","02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","0721","004",,,,"Fijo","31.86298892","-116.62103513","2010-07"
"110588","CLÍNICA DE MEDICINA FAMILIAR MEZA DE OTAY ISSSTE","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO ","622112","Hospitales generales del sector público","101 a 250 personas","CALLE","SILVESTRE REVUELTAS","CALLE","JUVENTINO ROSAS","CALLE","FELIPE VILLANUEVA","CALLEJON","RICARDO CASTRO","246",,,,,,"COLONIA","NUEVA TIJUANA MODULO 3",,,,"22435","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3840","006",,,,"Fijo","32.54684627","-116.93361594","2014-12"
"156637","CLÍNICA DEL SEGURO SOCIAL NO 7","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","CARDENAS","BOULEVARD","GUSTAVO SALINAS","BOULEVARD","AGUA CALIENTE","CALLE","FRANCISCO SARABIA",,"SN",,,,,"COLONIA","AVIACION",,,,"22014","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0441","023","8006812525",,,"Fijo","32.51481429","-117.00979073","2010-07"
"75126","CLÍNICA IMSS","GOBIERNO ","622112","Hospitales generales del sector público","6 a 10 personas","CALLE","OLIVOS NORTE","BOULEVARD","LOS OLIVOS","BOULEVARD","FLORIDOY/O INDEPENDENCIA","BOULEVARD","FLORIDOY/O INDEPENDENCIA","11110","2",,,"0","SN","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL EL FLORIDO",,,,"22244","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","7839","011",,,,"Fijo","32.45355032","-116.86676721","2010-07"
"106729","CLÍNICA MARIANO MATAMOROS ISSTECALI","ISSTECALI ","622112","Hospitales generales del sector público","31 a 50 personas","CALLE","SIN REFERENCIA","CALLE","MONTES DE OCA","AVENIDA","ARANJUEZ","CALLE","MONTES DE OCA","0","SN",,,"0",,"FRACCIONAMIENTO","VILLA FONTANA",,,,"22205","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","5940","039",,,,"Fijo","32.50421835","-116.86591827","2014-12"
"57157","CLÍNICA MÉDICA DIF","GOBIERNO MUNICIPAL ","622112","Hospitales generales del sector público","6 a 10 personas","CALLE","ACOCULCO","AVENIDA","MIGUEL HIDALGO Y COSTILLA","AVENIDA","COCOYOC","CALLE","ACOCULCO",,"SN",,,,"SN","COLONIA","LA HACIENDA",,,,"21448","02","BAJA CALIFORNIA","003","Tecate","0001","Tecate","1090","002","6656541630",,,"Fijo","32.57022329","-116.64322793","2010-07"
"6472025","CONSULTORIO MÉDICO EXTENSION ISSSTE","ISSSTE ","622112","Hospitales generales del sector público","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","PRIVADA","NINGUNO","OTRO (ESPECIFIQUE)","SIN REFERENCIA",,"SN",,,,,"PUEBLO","EL ROSARIO DE ARRIBA",,,,"22960","02","BAJA CALIFORNIA","001","Ensenada","0198","El Rosario de Arriba","7080","002",,,,"Fijo","30.06075606","-115.72380243","2016-01"
"7633776","CRUZ ROJA","GOBIERNO ","622112","Hospitales generales del sector público","0 a 5 personas","OTRO (ESPECIFIQUE)","SIN REFERENCIA","OTRO (ESPECIFIQUE)","SIN REFERENCIA","AVENIDA","SUR","AVENIDA","SUR",,"SN",,,,,"FRACCIONAMIENTO","FRACC PORTICOS DE SAN ANTONIO",,,,"22666","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","6101","021",,,,"Fijo","32.4385735","-117.04262134","2019-11"
"8039616","CRUZ ROJA MEXICANA","CRUZ ROJA MEXICANA ","622112","Hospitales generales del sector público","31 a 50 personas","BOULEVARD","GUSTAVO DIAZ ORDAZ","BOULEVARD","LAZARO CARDENAS","AVENIDA","AVENIDA DE LAS FUENTES","CALLE","MIGUEL DE LA MADRID","14517",,"CENTRO Y PLAZA COMERCIAL","17",,,"COLONIA","LAS FUENTES","CENTRO Y PLAZA COMERCIAL","PLAZA 5 Y 10","14517","22117","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3431","013",,,"WWW.CRUZROJABC.COM","Fijo","32.49834285","-116.96573241","2019-11"
"132043","DIRECCIÓN DE SERVICIOS MEDICOS MUNICIPALES","JOSE LUIS PIMENTEL SERAFIN ","622112","Hospitales generales del sector público","11 a 30 personas","BOULEVARD","BENITO JUAREZ","BOULEVARD","EMILIANO ZAPATA","BOULEVARD","FRANCISCO VILLA","CALLE","JOSÉ MARÍA MORELOS Y PAVÓN","984","7",,,"7",,"EJIDO","EJIDO MAZATLAN",,,,"22703","02","BAJA CALIFORNIA","005","Playas de Rosarito","0001","Playas de Rosarito","0400","007",,,,"Fijo","32.35352489","-117.05975274","2014-12"
"6718590","GREEN HEALTH MEDICAL GROUP","GREEN HEALTH MEDICAL GROUP ","622112","Hospitales generales del sector público","51 a 100 personas","CALLE","CAMINO ARANJUEZ","CALLE","TULIPANES","BOULEVARD","PARALELO 28 (MATAMOROS Y/O CUCAPAH)","CALLE","FRANBOYANES","22160",,,,,,"COLONIA","LOMAS DEL MATAMOROS",,,,"22206","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","7148","038",,"GESTIONGHH@HOTMAIL.COM",,"Fijo","32.51289917","-116.87229066","2016-01"
"86870","HOSPITAL 5 DE SEPTTIEMBRE","INSTITUTO SE SEGURIDAD SOCIAL Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO ","622112","Hospitales generales del sector público","251 y más personas","CALLE","CALLE DEL HOSPITAL","AVENIDA","AVENIDA DE LA LIBERTAD","CALZADA","INDEPENDENCIA","AVENIDA","DOCTOR HUMBERTO TORRES",,"SN",,,,,"COLONIA","CENTRO CIVICO",,,,"21000","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","031A","004","5529370",,,"Fijo","32.64373392","-115.47670274","2014-12"
"59161","HOSPITAL DE GINECOPEDIATRIA CON MEDICINA FAMILIAR NO 31","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","SEBASTIAN LERDO DE TEJADA","CALLE","G","CALLE","H","AVENIDA","GENERAL IGNACIO ZARAGOZA",,"SN",,,,,"COLONIA","SEGUNDA SECCION",,,,"21100","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","4242","018",,,"WWW.IMSS.GOB.MX","Fijo","32.66226456","-115.46569928","2010-07"
"147673","HOSPITAL FAMILIAR 3","ELVA JARAMILLO CHAVEZ ","622112","Hospitales generales del sector público","11 a 30 personas","AVENIDA","SAN LIUS RIO COLORADO","AVENIDA","FRANCISCO ZARCO","CALLE","NINGUNO","AVENIDA","SAN LIUS RÍO COLORADO",,"SN",,,,,"CIUDAD","CIUDAD MORELOS",,,,"21960","02","BAJA CALIFORNIA","002","Mexicali","0231","Ciudad Morelos (Cuervos)","5236","031","6585147177",,,"Fijo","32.63439782","-114.84575603","2010-07"
"58542","HOSPITAL GENERAL 5 DE DICIEMBRE","ELDA ALICIA RAMOS ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","AVENIDA DE LA LIBERTAD","CALLE","CALLE DEL HOSPITAL","AVENIDA","DOCTOR HUMBERTO TORRES","AVENIDA","DOCTOR HUMBERTO TORRES",,"SN",,,,,"COLONIA","CENTRO CIVICO",,,,"21000","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","031A","004","6865574240",,,"Fijo","32.64548519","-115.47467674","2010-07"
"141454","HOSPITAL GENERAL DE PLAYAS DE ROSARITO","INSTITUTO DE SERVICIOS DE SALUD PUBLICA DEL ESTADO DE BAJA CALIFORNIA ","622112","Hospitales generales del sector público","251 y más personas","CALLE","GALILEA","CARRETERA","DE CUOTA A ENSENADA","CALLE","JOSE HAROS A.","CALLE","RAMPA DE ACCESO","1005",,,,,,"COLONIA","VILLA TURISTICA",,,,"22710","02","BAJA CALIFORNIA","005","Playas de Rosarito","0001","Playas de Rosarito","0311","039","6616126042","HOSPITAL.GENERA.ROSARITO@HOTMAIL.COM",,"Fijo","32.36351212","-117.05575714","2010-07"
"151002","HOSPITAL GENERAL DE SUB ZONA MEDICINA FAMILIAR 13","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","11 a 30 personas","CALLE","NINGUNO","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","SIN REFERENCIA","CALLE","NINGUNO",,"SN",,,,,"PUERTO","EL MORRO",,,,"22990","02","BAJA CALIFORNIA","001","Ensenada","4444","El Morro","9922","014","6161585200",,,"Fijo","28.03451536","-115.18734615","2010-07"
"153536","HOSPITAL GENERAL DE TIJUANA","INSTITUTO DE SERVICIOS DE SALUD PÚBLICA DEL ESTADO DE BAJA CALIFORNIA ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","PADRE EUSEBIO KINO","CALLE","GENERAL JOSE VASCONCELOS","CALLE","JOSE RUBEN ROMERO","CALLE","VIA DE LA JUVENTUD ORIENTE",,"SN","EDIFICIO SIN NOMBRE","1",,,"COLONIA","ZONA RIO",,,,"22320","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3357","020",,,,"Fijo","32.52644072","-117.00972786","2010-07"
"71311","HOSPITAL GENERAL DE ZONA NO 8 JOSÉ ANTONIO DIAZ DE LEÓN","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","REFORMA","AVENIDA","DIAMANTE","BOULEVARD","ADOLFO RAMIREZ MENDEZ","AVENIDA","NARCISO MENDOZA","84",,,,,,"FRACCIONAMIENTO","BAHIA",,,,"22880","02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","7856","024",,"EDMUNDO.MEZA@IMSS.GOB.MX",,"Fijo","31.85671195","-116.60570786","2010-07"
"62004","HOSPITAL GENERAL ENSENADA","INSTITUCION DE SERVICIOS DE SALUD DE BAJA CALIFORNIA ","622112","Hospitales generales del sector público","251 y más personas","CARRETERA","TRANSPENINSULAR (REFORMA)","CALLE","GRANADA","CALLE","PASEO DE LA PLAYA","CALLE","PASEO DE LA LOMA",,"SN",,,,,"FRACCIONAMIENTO","LOMA DORADA",,,,"22847","02","BAJA CALIFORNIA","001","Ensenada","0001","Ensenada","7998","038","6461767602","CONTACTO@HOSPITALGENERALENSENADA.ORG",,"Fijo","31.82540203","-116.59982831","2010-07"
"61289","HOSPITAL GENERAL TECATE","ISE SALUD HOSPITAL INTEGRAL TECATE ","622112","Hospitales generales del sector público","31 a 50 personas","AVENIDA","TERCERA","CALLE","GUILLERMO PRIETO","CALLE","DOCTOR ARTURO GUERRA F.","AVENIDA","QUINTA",,"SN",,,,,"COLONIA","LOMA ALTA II",,,,"21480","02","BAJA CALIFORNIA","003","Tecate","0001","Tecate","0548","009",,,,"Fijo","32.55793469","-116.63205825","2010-07"
"84385","HOSPITAL MATERNO INFANTIL","SECRETARÍA DE SALUD ","622312","Hospitales del sector público de otras especialidades médicas","251 y más personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"COLONIA","MEXICALI",,,,"21376","02","BAJA CALIFORNIA","002","Mexicali","0001","Mexicali","8368","001","6865641640",,,"Fijo","32.62462832","-115.3765421","2014-12"
"9096193","HOSPITAL MATERNO INFANTIL TIJUANA","GOBIERNO DEL ESTADO ","622312","Hospitales del sector público de otras especialidades médicas","101 a 250 personas","BOULEVARD","CAMPESTRE","CALLE","PASEO DEL RIO","BOULEVARD","BOULEVARD DE LOS INSURGENTES","BOULEVARD","CAMPESTRE",,"SN",,,,"SN","COLONIA","RIO TIJUANA 1RA ETAPA",,,,"22120","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1064","028",,,,"Fijo","32.48955993","-116.92880195","2019-11"
